,short,long,val
253,6,24,1036100.0
254,6,25,1072200.0
255,6,26,1009000.0
256,6,27,1190000.0
257,6,28,1549900.0
258,6,29,1330600.0
259,6,30,1429000.0
260,6,31,1266800.0
261,6,32,1281900.0
262,6,33,1364200.0
263,6,34,1410400.0
264,6,35,1374100.0
265,6,36,1217000.0
266,6,37,1130500.0
267,6,38,1049900.0
268,6,39,1107100.0
269,6,40,1099500.0
270,6,41,1038900.0
271,6,42,1141700.0
272,6,43,926000.0
273,6,44,888000.0
274,6,45,975500.0
275,6,46,981800.0
276,6,47,982300.0
277,6,48,864000.0
278,6,49,842000.0
279,6,50,739400.0
280,6,51,754500.0
281,6,52,801500.0
282,6,53,732500.0
283,6,54,768500.0
284,6,55,812900.0
285,6,56,808300.0
286,6,57,818600.0
287,6,58,832600.0
288,6,59,899100.0
289,6,60,952800.0
290,6,61,947200.0
291,6,62,1036100.0
292,6,63,1019700.0
293,6,64,991300.0
294,6,65,995800.0
295,7,8,1473500.0
296,7,9,952800.0
297,7,10,1522700.0
298,7,11,1372500.0
299,7,12,1523900.0
300,7,13,1476900.0
301,7,14,1448500.0
302,7,15,1222700.0
303,7,16,1588900.0
304,7,17,1429900.0
305,7,18,910800.0
306,7,19,945400.0
307,7,20,857800.0
308,7,21,1046600.0
309,7,22,988800.0
310,7,23,1013400.0
311,7,24,1029300.0
312,7,25,973000.0
313,7,26,1214100.0
314,7,27,1283500.0
315,7,28,1320800.0
316,7,29,1183500.0
317,7,30,1248300.0
318,7,31,1291300.0
319,7,32,1252800.0
320,7,33,1368400.0
321,7,34,1343200.0
322,7,35,1322700.0
323,7,36,1258600.0
324,7,37,1231100.0
325,7,38,1165000.0
326,7,39,1127300.0
327,7,40,1126200.0
328,7,41,1150700.0
329,7,42,924500.0
330,7,43,869500.0
331,7,44,878700.0
332,7,45,880700.0
333,7,46,868600.0
334,7,47,790700.0
335,7,48,736000.0
336,7,49,720700.0
337,7,50,783300.0
338,7,51,807000.0
339,7,52,762000.0
340,7,53,772300.0
341,7,54,770800.0
342,7,55,778400.0
343,7,56,806300.0
344,7,57,835000.0
345,7,58,899900.0
346,7,59,860400.0
347,7,60,913400.0
348,7,61,909900.0
349,7,62,909400.0
350,7,63,913400.0
351,7,64,953900.0
352,7,65,911900.0
353,7,66,892400.0
354,8,9,1112900.0
355,8,10,1281000.0
356,8,11,1188800.0
357,8,12,1308500.0
358,8,13,1123000.0
359,8,14,1187200.0
360,8,15,1351400.0
361,8,16,1267700.0
362,8,17,1261500.0
363,8,18,887600.0
364,8,19,764300.0
365,8,20,918800.0
366,8,21,1006100.0
367,8,22,861500.0
368,8,23,841100.0
369,8,24,930500.0
370,8,25,986700.0
371,8,26,1078900.0
372,8,27,1071400.0
373,8,28,1136000.0
374,8,29,1161000.0
375,8,30,1239500.0
376,8,31,1340200.0
377,8,32,1446900.0
378,8,33,1473300.0
379,8,34,1481500.0
380,8,35,1269700.0
381,8,36,1196500.0
382,8,37,1152500.0
383,8,38,1169300.0
384,8,39,1051600.0
385,8,40,896100.0
386,8,41,885100.0
387,8,42,956100.0
388,8,43,935600.0
389,8,44,831700.0
390,8,45,831200.0
391,8,46,768200.0
392,8,47,749900.0
393,8,48,735600.0
394,8,49,721100.0
395,8,50,723600.0
396,8,51,722000.0
397,8,52,786000.0
398,8,53,823900.0
399,8,54,885000.0
400,8,55,849100.0
401,8,56,831100.0
402,8,57,846300.0
403,8,58,970200.0
404,8,59,1109800.0
405,8,60,1079800.0
406,8,61,1049300.0
407,8,62,1041700.0
408,8,63,1027500.0
409,8,64,1039900.0
410,8,65,970900.0
411,8,66,1086900.0
412,8,67,1035900.0
413,9,10,1027200.0
414,9,11,999100.0
415,9,12,1141000.0
416,9,13,841800.0
417,9,14,1045200.0
418,9,15,1073600.0
419,9,16,901200.0
